RES;PKGKHQGK42;1375461173213;1375461173849;636;true
RES;1SKIG3MEQ6;1375461173984;1375461174233;249;true
RES;1QUIF49O4E;1375461174367;1375461174622;255;true
RES;PKGKHQGK42;1375461174753;1375461174768;15;true
RES;VTP1B3CU00;1375461174881;1375461175190;309;true
RES;VTP1B3CU00;1375461175319;1375461175336;17;true
RES;J9TMVG6794;1375461175458;1375461175788;330;true
RES;VTP1B3CU00;1375461175925;1375461175935;10;true
RES;DNQ598J1BV;1375461176048;1375461176381;333;true
RES;G50FQAAKAC;1375461176489;1375461176789;300;true
